left_company,department,job_level,salary,weekly_hours,business_travel,yrs_at_company,yrs_since_promotion,previous_companies,job_satisfaction,performance_rating,marital_status,miles_from_home
Yes,Sales,Director,118680.73971168992,56,Rarely,6,0,5,Very High,Meets Expectations,Single,1
No,Sales,Senior Manager,85576.43679081727,42,Frequently,10,1,5,Medium,Exceeds Expectations,Married,8
Yes,Product Development,Associate,46235.78532386095,56,Rarely,0,0,6,High,Minimally Effective,Single,2
No,IT and Analytics,Director,117226.83749855778,50,Frequently,8,3,1,High,Exceptional,Married,3
No,Sales,Associate,36634.7264845127,46,Rarely,2,2,2,Medium,Exceeds Expectations,Married,2
No,Marketing,Senior Manager,83519.58538364834,48,Frequently,7,3,1,Very High,Meets Expectations,Single,2
No,Marketing,Senior Manager,88555.64637631828,44,Rarely,1,0,3,Low,Meets Expectations,Married,3
No,Sales,Director,122280.88160078265,47,Rarely,1,0,3,High,Exceptional,Divorced,24
No,Finance and Operations,Senior Manager,94642.18320353459,50,Frequently,9,1,3,High,Meets Expectations,Single,23
No,Product Development,Director,124537.85135034646,51,Rarely,7,7,3,High,Exceeds Expectations,Married,27
No,Sales,Director,122820.53127240951,46,Rarely,5,0,1,Medium,Exceeds Expectations,Married,16
No,Research,Manager,69565.50620335263,48,Rarely,9,0,3,High,Exceptional,Single,15
No,Sales,Associate,41985.49762672971,48,Rarely,5,4,2,High,Meets Expectations,Divorced,26
No,Sales,Director,117368.59802499178,48,Rarely,2,1,2,Very High,Meets Expectations,Divorced,19
Yes,Marketing,Manager,63876.577772842684,57,Rarely,4,0,2,High,Minimally Effective,Single,24
No,Marketing,Manager,74328.39866870202,47,Rarely,10,8,2,Low,Meets Expectations,Divorced,21
No,Research,Associate,41883.7270941167,44,Rarely,6,0,3,Medium,Meets Expectations,Divorced,5
No,Sales,Director,118269.47280027946,48,None,1,0,3,Very High,Exceeds Expectations,Divorced,16
No,IT and Analytics,Senior Manager,84196.93415200849,52,Rarely,25,3,2,Very High,Exceeds Expectations,Married,2
No,IT and Analytics,Manager,67105.33339536632,48,Rarely,3,1,3,Very High,Meets Expectations,Single,2
